Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Fast,2015-07-27 15:50:00,2015-07-28 15:50:00,6632.25,6670.0,2.0,151.0,5102.0,0.01208,0.20408,0.0,24.0,LE2.Fast.C,LX2.Fast.C,95.0,-162.0,0.9571999999999999
MNQ,Slow,2015-08-04 15:35:00,2015-08-05 15:35:00,6664.75,6705.25,2.0,162.0,5264.0,0.01296,0.21056,0.0,24.0,LE.Slow.C,LX1.Slow.C,9.0,-303.0,0.5481
MNQ,Fast,2015-08-04 15:50:00,2015-08-05 15:50:00,6665.25,6702.75,2.0,150.0,5414.0,0.012,0.21656,0.0,24.0,LE2.Fast.C,LX2.Fast.C,11.0,-301.0,0.516
MNQ,Slow,2015-08-06 15:35:00,2015-08-10 15:35:00,6637.5,6677.5,2.0,160.0,5574.0,0.0128,0.22296,0.0,96.0,LE.Slow.C,LX1.Slow.C,182.0,-216.0,0.8593000000000001
MNQ,Fast,2015-08-06 15:50:00,2015-08-10 15:00:00,6637.5,6677.25,2.0,159.0,5733.0,0.01272,0.22932,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,182.0,-216.0,0.8568000000000001
MNQ,Fast,2015-08-19 15:50:00,2015-08-20 15:50:00,6613.25,6478.75,2.0,-538.0,5195.0,-0.04304,0.2078,-0.02152,24.0,LE2.Fast.C,LX2.V140.Fast.C,567.0,-45.0,0.047400000000000005
MNQ,Slow,2015-09-01 15:30:00,2015-09-08 15:30:00,6268.5,6410.0,2.0,566.0,5761.0,0.04528,0.23044,0.0,168.0,LE.Slow.C,LX1.Slow.C,84.0,-594.0,0.9587
MNQ,Slow,2015-09-18 15:35:00,2015-10-01 15:35:00,6446.25,6308.0,2.0,-553.0,5208.0,-0.04424,0.20832,-0.02212,312.0,LE.Slow.C,LX1.Slow.C,1142.0,-141.0,0.45909999999999995
MNQ,Fast,2015-09-28 15:50:00,2015-09-30 15:00:00,6217.0,6285.25,2.0,273.0,5481.0,0.02184,0.21924,-0.0112,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,225.0,-288.0,0.9708
MNQ,Slow,2015-10-14 15:35:00,2015-10-15 15:35:00,6448.5,6530.5,2.0,328.0,5809.0,0.02624,0.23236,0.0,24.0,LE.Slow.C,LX1.Slow.C,0.0,-334.0,0.982
